Strain	Stress
6,40E-04	137,29959
6,40E-04	137,43503
6,40E-04	137,54036
6,40E-04	137,6736
6,40E-04	137,80943
6,40E-04	137,94193
6,40E-04	138,06624
6,50E-04	138,19615
6,50E-04	138,30333
6,50E-04	138,40987
6,50E-04	138,54587
6,50E-04	138,68535
6,50E-04	138,7916
6,50E-04	138,89754
6,50E-04	139,03738
6,50E-04	139,14604
6,50E-04	139,25659
6,60E-04	139,36853
6,60E-04	139,48602
6,60E-04	139,59993
6,60E-04	139,7126
6,60E-04	139,82683
6,60E-04	139,93848
6,60E-04	140,04779
6,60E-04	140,18526
6,60E-04	140,32271
6,60E-04	140,45773
6,60E-04	140,58861
6,60E-04	140,7171
6,60E-04	140,84099
6,60E-04	140,96576
6,60E-04	141,10175
6,60E-04	141,20761
6,60E-04	141,31676
6,70E-04	141,45529
6,70E-04	141,56258
6,70E-04	141,69942
6,70E-04	141,82857
6,70E-04	141,95708
6,70E-04	142,08418
6,80E-04	142,22235
6,80E-04	142,33664
6,80E-04	142,45052
6,80E-04	142,56793
6,80E-04	142,68336
6,80E-04	142,79579
6,80E-04	142,90382
6,80E-04	143,01402
6,80E-04	143,12881
6,80E-04	143,23589
6,80E-04	143,36871
6,80E-04	143,48912
6,80E-04	143,61166
6,90E-04	143,7403
6,90E-04	143,86928
6,90E-04	143,98619
6,90E-04	144,11137
6,90E-04	144,24461
6,90E-04	144,35341
6,90E-04	144,46439
6,90E-04	144,60089
6,90E-04	144,74222
6,90E-04	144,85837
6,90E-04	144,96748
6,90E-04	145,07802
6,90E-04	145,18985
6,90E-04	145,30115
6,90E-04	145,41345
6,90E-04	145,52737
6,90E-04	145,64378
7,00E-04	145,75945
6,90E-04	145,8768
6,90E-04	145,99623
7,00E-04	146,10881
