Strain	Stress
5,70E-04	135,07759
5,70E-04	135,20592
5,70E-04	135,31126
5,70E-04	135,439
5,70E-04	135,55286
5,70E-04	135,6584
5,70E-04	135,7715
5,80E-04	135,89313
5,80E-04	136,02696
5,80E-04	136,13344
5,80E-04	136,24071
5,80E-04	136,34627
5,80E-04	136,48274
5,80E-04	136,61632
5,80E-04	136,74399
5,80E-04	136,87544
5,80E-04	137,01117
5,80E-04	137,12024
5,80E-04	137,23212
5,80E-04	137,34584
5,80E-04	137,45421
5,80E-04	137,56035
5,80E-04	137,69649
5,80E-04	137,82532
5,90E-04	137,95389
5,90E-04	138,06989
5,90E-04	138,18401
5,90E-04	138,3011
5,90E-04	138,4213
5,90E-04	138,54018
5,80E-04	138,65199
5,90E-04	138,76193
5,90E-04	138,8813
5,90E-04	139,00996
5,90E-04	139,14491
5,90E-04	139,27754
5,90E-04	139,41017
5,90E-04	139,54643
5,90E-04	139,65767
5,90E-04	139,77437
5,90E-04	139,89337
5,90E-04	140,01578
5,90E-04	140,13326
6,00E-04	140,2478
6,00E-04	140,36069
6,00E-04	140,49484
6,00E-04	140,61664
6,00E-04	140,73424
6,00E-04	140,84322
6,00E-04	140,94951
6,00E-04	141,05746
6,00E-04	141,17531
6,00E-04	141,30247
6,00E-04	141,42976
6,00E-04	141,56155
6,00E-04	141,66722
6,00E-04	141,80096
6,10E-04	141,92563
6,10E-04	142,05396
6,10E-04	142,18048
6,10E-04	142,31439
6,10E-04	142,45093
6,10E-04	142,58987
6,10E-04	142,72917
6,10E-04	142,86768
6,10E-04	143
6,10E-04	143,12918
6,10E-04	143,26047
6,10E-04	143,36586
6,10E-04	143,5027
6,10E-04	143,63629
6,10E-04	143,76961
6,10E-04	143,90157
6,10E-04	144,02933
6,10E-04	144,14226
6,10E-04	144,25188
6,20E-04	144,36937
6,20E-04	144,49522
6,20E-04	144,61934
6,20E-04	144,75119
6,20E-04	144,89005
6,20E-04	144,99562
6,20E-04	145,10892
6,20E-04	145,23441
6,20E-04	145,36127
6,20E-04	145,4827
6,20E-04	145,59491
6,30E-04	145,70667
6,30E-04	145,81255
6,30E-04	145,9489
6,30E-04	146,07976
6,30E-04	146,21219
6,30E-04	146,3297
6,30E-04	146,44565
6,30E-04	146,5675
6,30E-04	146,68758
6,30E-04	146,81381
6,30E-04	146,93991
6,30E-04	147,07033
6,30E-04	147,19751
6,30E-04	147,30864
6,30E-04	147,42363
6,30E-04	147,55582
